date,code,action,price,shares,value,cost,hold_days
2022-01-14,000001,sell,2931.82,23.932798264538143,70166.65660793822,70.16665660793822,8
2022-01-17,601001,sell,23.36,3540.021079003038,82694.89240551097,82.69489240551097,24
2022-01-20,601001,buy,24.440000000000005,3224.1698631139616,78798.71145450523,78.79871145450524,0
2022-01-21,000001,buy,3004.95,23.598050030086778,70910.96043790926,70.91096043790927,0
2022-01-25,000002,sell,3781.36,29.655222393483793,112137.07174982388,112.13707174982389,68
2022-01-25,000983,sell,72.11,1085.025571269037,78241.19394421026,78.24119394421027,61
2022-01-25,601898,sell,8.08,10195.65749160008,82380.91253212866,82.38091253212866,36
2022-01-28,601001,sell,23.92,3224.1698631139616,77122.14312568597,77.12214312568597,8
2022-02-08,000002,buy,3677.94,26.853596660392565,98765.91730112424,98.76591730112425,0
2022-02-09,601898,buy,8.11,10959.241551082825,88879.4489792817,88.8794489792817,0
2022-02-10,000983,buy,68.87,580.6782063050356,39991.3080682278,39.9913080682278,0
2022-02-10,601001,buy,26.24,1524.058996502584,39991.3080682278,39.9913080682278,0
2022-02-14,000002,sell,3696.27,26.853596660392565,99258.14372790922,99.25814372790923,6
2022-02-18,000983,sell,73.61,580.6782063050356,42743.72276611367,42.74372276611367,8
2022-02-18,601001,sell,28.08,1524.058996502584,42795.576621792556,42.795576621792556,8
2022-02-21,000002,buy,3611.18,25.043786471033393,90437.62082846636,90.43762082846636,0
2022-02-22,601001,buy,30.42,2675.3719586961492,81384.81498353687,81.38481498353687,0
2022-02-23,000983,buy,83.54,876.6841633191863,73238.19500368483,73.23819500368484,0
2022-02-25,000983,sell,81.14,876.6841633191863,71134.15301171878,71.13415301171878,2
2022-02-25,601001,sell,30.22,2675.3719586961492,80849.74059179763,80.84974059179763,3
2022-02-28,601001,buy,28.58,2837.3073007280354,81090.24265480725,81.09024265480726,0
2022-03-03,000983,buy,84.19,866.7669481537124,72973.10936506104,72.97310936506105,0
2022-03-07,000001,sell,2634.39,23.598050030086778,62166.467018760304,62.16646701876031,45
2022-03-08,000002,sell,3369.0,25.043786471033393,84372.5166209115,84.3725166209115,15
2022-03-14,601001,sell,29.72,2837.3073007280354,84324.77297763721,84.32477297763721,14
2022-03-14,601898,sell,8.77,10959.241551082825,96112.54840299637,96.11254840299637,33
2022-03-14,000001,buy,2546.63,38.61316091821229,98333.43398914696,98.33343398914695,0
2022-03-15,000001,sell,2509.24,38.61316091821229,96889.687902415,96.889687902415,1
2022-03-15,000983,sell,82.43,866.7669481537124,71447.59953631052,71.44759953631052,12
2022-03-15,601088,sell,39.57999999999999,2848.2269109838235,112732.8211367397,112.7328211367397,116
2022-03-15,601001,buy,28.64,4070.1522728185164,116569.16109352231,116.56916109352231,0
2022-03-17,601001,sell,27.1,4070.1522728185164,110301.1265933818,110.30112659338181,2
2022-03-21,000002,buy,3215.8299999999995,12.015526381964591,38639.89020491319,38.639890204913186,0
2022-03-21,000983,buy,84.25,458.63371163101704,38639.89020491319,38.639890204913186,0
2022-03-21,601898,buy,8.52,4535.198380858355,38639.89020491319,38.639890204913186,0
2022-03-22,601001,buy,30.96,1684.6917245834,52158.05579310207,52.158055793102065,0
2022-03-22,601088,buy,39.55,1318.787757094869,52158.05579310207,52.158055793102065,0
2022-03-23,000001,buy,2624.64,35.766455139152455,93874.06881642509,93.8740688164251,0
2022-03-30,000002,sell,3251.18,12.015526381964591,39064.639062515635,39.06463906251564,9
2022-04-01,000002,buy,3434.45,25.733329054214288,88379.83197024626,88.37983197024626,0
2022-04-06,000983,sell,91.52,458.63371163101704,41974.15728847068,41.97415728847068,16
2022-04-07,601001,sell,32.06,1684.6917245834,54011.2166901438,54.011216690143804,16
2022-04-11,601001,buy,31.3,2847.346634200901,89121.9496504882,89.1219496504882,0
2022-04-12,601898,sell,10.27,4535.198380858355,46576.48737141531,46.57648737141531,22
2022-04-14,601001,sell,32.28,2847.346634200901,91912.34935200508,91.91234935200508,3
2022-04-15,601898,buy,11.85,7935.517069969959,94035.87727914401,94.03587727914402,0
2022-04-18,601001,buy,31.16,2715.753721550119,84622.8859635017,84.6228859635017,0
2022-04-19,000983,buy,107.42,708.9195222356656,76152.13507855519,76.15213507855519,0
2022-04-20,000002,sell,3628.2,25.733329054214288,93365.66447450027,93.36566447450028,19
2022-04-20,000983,sell,105.15,708.9195222356656,74542.88776308025,74.54288776308024,1
2022-04-20,601001,sell,31.32,2715.753721550119,85057.40655894972,85.05740655894972,2
2022-04-20,601898,sell,11.15,7935.517069969959,88481.01533016504,88.48101533016505,5
2022-04-25,000001,sell,2715.65,35.766455139152455,97129.17389863938,97.12917389863938,33
2022-04-28,601088,sell,43.59,1318.787757094869,57485.958331765345,57.485958331765346,37
2022-04-29,000001,buy,2718.9,43.43150199796466,118085.91078226612,118.08591078226613,0
2022-05-05,000002,buy,3509.07,6.056619623601768,21253.102222592257,21.253102222592258,0
2022-05-05,000983,buy,104.3,203.76895707183374,21253.102222592257,21.253102222592258,0
2022-05-05,601001,buy,27.04,785.9875082319622,21253.102222592257,21.253102222592258,0
2022-05-05,601088,buy,44.68,475.6737292433361,21253.102222592257,21.253102222592258,0
2022-05-05,601898,buy,10.89,1951.616365710951,21253.102222592257,21.253102222592258,0
2022-05-06,000002,sell,3437.07,6.056619623601768,20817.02560969293,20.81702560969293,1
2022-05-10,000983,sell,92.75,203.76895707183374,18899.57076841258,18.89957076841258,5
2022-05-10,601898,sell,10.29,1951.616365710951,20082.132403165684,20.082132403165684,5
2022-05-13,601088,sell,42.34,475.6737292433361,20140.02569616285,20.14002569616285,8
2022-05-13,601898,buy,10.42,9943.782631751395,103614.21502284954,103.61421502284955,0
2022-05-16,000002,buy,3467.18,26.892873199275005,93242.43209906231,93.24243209906231,0
2022-05-17,601088,buy,44.72,1876.3162935140022,83908.86464594617,83.90886464594618,0
2022-05-18,000983,buy,95.48,790.8419280989418,75509.58729488697,75.50958729488697,0
2022-05-20,000983,sell,93.34,790.8419280989418,73817.18556875523,73.81718556875524,2
