date,actual,predicted,pred_return,signal,position,cash,total,returns
2022-07-20,96.4766562901365,98.14148099510442,-0.0038140515667250963,-1,0.0,1000000,1000000.0,0.0
2022-07-21,93.9359464714679,98.01436965517928,-0.001295184652160275,-1,0.0,1000000,1000000.0,0.0
2022-07-22,94.12312635610104,98.39512114827046,0.0038846497144315872,-1,0.0,1000000,1000000.0,0.0
2022-07-25,94.19018200707951,97.3541258764183,-0.010579744805471636,-1,0.0,1000000,1000000.0,0.0
2022-07-26,94.7916259440765,96.04682551779976,-0.013428299487563855,-1,0.0,1000000,1000000.0,0.0
2022-07-27,93.98942643850594,96.70987145078315,0.006903361244984696,-1,0.0,1000000,1000000.0,0.0
2022-07-28,94.59128175986478,96.76121414750388,0.0005308940643857785,-1,0.0,1000000,1000000.0,0.0
2022-07-29,93.25387119955202,96.45817974894024,-0.0031317754870426873,-1,0.0,1000000,1000000.0,0.0
2022-08-01,91.51577227081582,96.3952066056619,-0.0006528543607421389,-1,0.0,1000000,1000000.0,0.0
2022-08-02,90.44576154569324,95.7129372920988,-0.007077834444135345,-1,0.0,1000000,1000000.0,0.0
2022-08-03,88.90800680116877,94.25125731859484,-0.015271498450028509,-1,0.0,1000000,1000000.0,0.0
2022-08-04,89.77726195771777,92.70279091270368,-0.016429132617901576,-1,0.0,1000000,1000000.0,0.0
2022-08-05,90.78021703186188,92.1054198415858,-0.006443938367296953,-1,0.0,1000000,1000000.0,0.0
2022-08-08,90.04466179290796,92.16160353592376,0.0006099933579868377,-1,0.0,1000000,1000000.0,0.0
2022-08-09,89.50986212252758,92.2229194912211,0.0006653091194690486,-1,0.0,1000000,1000000.0,0.0
2022-08-10,89.10876236974231,92.12778685754768,-0.0010315508790901262,-1,0.0,1000000,1000000.0,0.0
2022-08-11,91.04761686705208,92.40456738106673,0.0030043110006214846,-1,0.0,1000000,1000000.0,0.0
2022-08-12,91.2479610512638,93.83504200271008,0.015480561861668907,-1,0.0,1000000,1000000.0,0.0
2022-08-15,89.44280647154913,93.87551756370078,0.00043134803509259356,-1,0.0,1000000,1000000.0,0.0
2022-08-16,89.57650638914423,93.30032268083788,-0.006127208645987925,-1,0.0,1000000,1000000.0,0.0
2022-08-17,91.38207235322072,92.5207914981348,-0.00835507488403553,-1,0.0,1000000,1000000.0,0.0
2022-08-18,90.3791172790766,93.41176606166984,0.009629992881686533,-1,0.0,1000000,1000000.0,0.0
2022-08-19,92.51872734495991,94.23151167271205,0.0087756140966333,-1,0.0,1000000,1000000.0,0.0
2022-08-22,92.05057194119618,95.98587113078918,0.018617545520976275,-1,0.0,1000000,1000000.0,0.0
2022-08-23,90.9805612160736,95.86627237637796,-0.0012460037399488755,-1,0.0,1000000,1000000.0,0.0
2022-08-24,91.38207235322072,94.85042618758304,-0.010596492005098934,-1,0.0,1000000,1000000.0,0.0
2022-08-25,92.85277144676674,94.3521549577295,-0.005253231323053109,-1,0.0,1000000,1000000.0,0.0
2022-08-26,92.78612718015012,94.50583152316838,0.0016287552256515347,-1,0.0,1000000,1000000.0,0.0
2022-08-29,91.51577227081582,95.27249690100072,0.008112360533480745,-1,0.0,1000000,1000000.0,0.0
2022-08-30,91.91687202360109,95.16019981726944,-0.0011786936144643212,-1,0.0,1000000,1000000.0,0.0
