date,total
2021-10-29,1266337.946000001
2021-11-01,1270039.946000001
2021-11-02,1284149.946000001
2021-11-03,1250011.946000001
2021-11-04,1255508.946000001
2021-11-05,1257832.946000001
2021-11-08,1253485.946000001
2021-11-09,1278248.946000001
2021-11-10,1278318.946000001
2021-11-11,1279642.946000001
2021-11-12,1297739.946000001
2021-11-15,1298112.946000001
2021-11-16,1301222.946000001
2021-11-17,1291067.946000001
2021-11-18,1301063.946000001
2021-11-19,1291817.946000001
2021-11-22,1309910.946000001
2021-11-23,1317682.946000001
2021-11-24,1328652.946000001
2021-11-25,1326989.946000001
2021-11-26,1319590.946000001
2021-11-29,1295993.946000001
2021-11-30,1301583.946000001
2021-12-01,1299715.946000001
2021-12-02,1321064.946000001
2021-12-03,1314954.946000001
2021-12-06,1322078.946000001
2021-12-07,1320285.946000001
2021-12-08,1318204.946000001
2021-12-09,1319298.946000001
2021-12-10,1321870.946000001
2021-12-13,1324591.946000001
2021-12-14,1334093.946000001
2021-12-15,1321999.946000001
2021-12-16,1318126.946000001
2021-12-17,1334134.946000001
2021-12-20,1329099.946000001
2021-12-21,1315959.946000001
2021-12-22,1340490.946000001
2021-12-23,1341880.946000001
2021-12-24,1353221.6320000007
2021-12-27,1317637.6320000007
2021-12-28,1330085.6320000007
2021-12-29,1337453.257000001
2021-12-30,1339180.977000001
2021-12-31,1343412.977000001
2022-01-04,1340618.977000001
2022-01-05,1361303.977000001
2022-01-06,1344309.9460000007
2022-01-07,1350431.9460000007
2022-01-10,1318135.9460000007
2022-01-11,1339413.9460000007
2022-01-12,1341493.9460000007
2022-01-13,1386552.9460000007
2022-01-14,1369153.9460000007
2022-01-17,1345765.9460000007
2022-01-18,1351571.9460000007
2022-01-19,1358855.9390000007
2022-01-20,1375230.9390000007
2022-01-21,1350282.9390000007
2022-01-24,1345097.9390000007
2022-01-25,1335752.0450000009
2022-01-26,1306134.0450000009
2022-01-27,1293323.0450000009
2022-01-28,1267083.0450000009
2022-02-07,1307563.0450000009
2022-02-08,1321264.0450000009
2022-02-09,1344905.0450000009
2022-02-10,1375686.0450000009
2022-02-11,1382813.0450000009
2022-02-14,1357580.0450000009
2022-02-15,1423978.0450000009
2022-02-16,1445606.0450000009
2022-02-17,1458482.0450000009
2022-02-18,1465352.2450000006
2022-02-21,1464656.2450000006
2022-02-22,1474534.7770000007
2022-02-23,1471969.7770000007
2022-02-24,1466191.7770000007
2022-02-25,1462027.7770000007
2022-02-28,1464179.2280000006
2022-03-01,1464693.2280000006
2022-03-02,1460354.2280000006
2022-03-03,1461662.2280000006
2022-03-04,1470650.0740000007
2022-03-07,1473055.5890000009
2022-03-08,1444089.5890000009
2022-03-09,1421218.5890000009
2022-03-10,1403972.5890000009
2022-03-11,1381733.5890000009
2022-03-14,1393081.5890000009
2022-03-15,1344250.5890000009
2022-03-16,1306779.5890000009
2022-03-17,1347015.5890000009
2022-03-18,1353341.5890000009
2022-03-21,1383014.5890000009
2022-03-22,1399798.5890000009
2022-03-23,1415257.5890000009
2022-03-24,1430279.5890000009
2022-03-25,1439919.6010000007
2022-03-28,1434933.6010000007
2022-03-29,1442053.6010000007
2022-03-30,1450432.6010000007
2022-03-31,1451885.6010000007
2022-04-01,1444258.6010000007
2022-04-06,1450334.9210000008
2022-04-07,1452675.9210000008
2022-04-08,1439218.9210000008
2022-04-11,1459921.9210000008
2022-04-12,1428099.9210000008
2022-04-13,1441536.9210000008
2022-04-14,1465805.9210000008
2022-04-15,1457612.9210000008
2022-04-18,1421134.9210000008
2022-04-19,1427976.9210000008
2022-04-20,1430153.9210000008
2022-04-21,1396803.9210000008
2022-04-22,1334272.9210000008
2022-04-25,1311594.9210000008
2022-04-26,1262423.9210000008
2022-04-27,1214702.9210000008
2022-04-28,1271600.9210000008
2022-04-29,1266537.9210000008
2022-05-05,1287045.9850000008
2022-05-06,1258071.4720000008
2022-05-09,1248902.4720000008
2022-05-10,1227488.4720000008
2022-05-11,1246642.4720000008
2022-05-12,1240976.4720000008
2022-05-13,1255348.4720000008
2022-05-16,1266513.4720000008
2022-05-17,1262526.4720000008
2022-05-18,1269360.4720000008
2022-05-19,1244375.4720000008
2022-05-20,1273912.4720000008
2022-05-23,1291397.4720000008
2022-05-24,1291988.4720000008
2022-05-25,1246813.4720000008
2022-05-26,1274166.4720000008
2022-05-27,1305749.4720000008
2022-05-30,1301688.797000001
2022-05-31,1307956.797000001
2022-06-01,1312285.797000001
2022-06-02,1302242.797000001
2022-06-06,1309917.797000001
2022-06-07,1337366.797000001
2022-06-08,1341615.2950000009
2022-06-09,1320707.1630000009
2022-06-10,1312226.2750000008
2022-06-13,1327323.7720000008
2022-06-14,1310712.7720000008
2022-06-15,1318423.7720000008
2022-06-16,1330329.7720000008
2022-06-17,1326079.7720000008
2022-06-20,1371448.7720000008
2022-06-21,1342207.7720000008
2022-06-22,1325899.7720000008
2022-06-23,1305681.7720000008
2022-06-24,1312494.7720000008
2022-06-27,1316343.7720000008
2022-06-28,1329717.7720000008
2022-06-29,1332366.6600000008
2022-06-30,1319401.6600000008
2022-07-01,1323958.6600000008
2022-07-04,1328288.6600000008
2022-07-05,1327550.5480000009
2022-07-06,1321667.5480000009
2022-07-07,1302767.5480000009
2022-07-08,1320943.218000001
2022-07-11,1299302.953000001
2022-07-12,1283750.280000001
2022-07-13,1286068.280000001
2022-07-14,1273104.166000001
2022-07-15,1263985.166000001
2022-07-18,1256762.166000001
2022-07-19,1287017.166000001
2022-07-20,1281573.166000001
2022-07-21,1282049.166000001
2022-07-22,1284445.456000001
2022-07-25,1283044.336000001
2022-07-26,1281679.336000001
2022-07-27,1287337.336000001
2022-07-28,1302219.336000001
2022-07-29,1308030.336000001
2022-08-01,1293104.336000001
2022-08-02,1284746.336000001
2022-08-03,1273084.336000001
2022-08-04,1279531.336000001
2022-08-05,1290241.336000001
2022-08-08,1300750.336000001
2022-08-09,1303873.336000001
2022-08-10,1304955.336000001
2022-08-11,1309033.336000001
2022-08-12,1323491.802000001
2022-08-15,1346671.802000001
2022-08-16,1331587.802000001
2022-08-17,1339088.802000001
2022-08-18,1378132.802000001
2022-08-19,1405594.462000001
2022-08-22,1399683.462000001
2022-08-23,1409144.462000001
2022-08-24,1413932.462000001
2022-08-25,1409476.214000001
2022-08-26,1435672.7200000011
2022-08-29,1412488.7200000011
2022-08-30,1408266.7200000011
2022-08-31,1418430.7200000011
2022-09-01,1419166.7200000011
2022-09-02,1482696.7200000011
2022-09-05,1448510.664000001
2022-09-06,1453564.664000001
2022-09-07,1463116.664000001
2022-09-08,1460848.492000001
2022-09-09,1465228.492000001
2022-09-13,1472991.492000001
2022-09-14,1459804.492000001
2022-09-15,1461894.492000001
2022-09-16,1449475.492000001
2022-09-19,1431935.492000001
2022-09-20,1423874.492000001
2022-09-21,1422500.492000001
2022-09-22,1418687.492000001
2022-09-23,1411706.492000001
2022-09-26,1391406.492000001
2022-09-27,1354707.492000001
2022-09-28,1368490.492000001
2022-09-29,1360590.492000001
2022-09-30,1365648.492000001
2022-10-10,1370519.492000001
2022-10-11,1359911.816000001
2022-10-12,1357919.816000001
2022-10-13,1373330.136000001
2022-10-14,1375685.136000001
2022-10-17,1382212.136000001
2022-10-18,1392186.0020000013
2022-10-19,1387008.6010000012
2022-10-20,1353066.6010000012
2022-10-21,1355211.6010000012
2022-10-24,1343714.6010000012
2022-10-25,1328851.6010000012
2022-10-26,1326448.6010000012
2022-10-27,1341717.6010000012
2022-10-28,1335936.6010000012
2022-10-31,1301215.9260000011
2022-11-01,1312801.9260000011
2022-11-02,1349128.9260000011
2022-11-03,1355716.9260000011
2022-11-04,1356683.9260000011
2022-11-07,1395405.4270000013
2022-11-08,1188669.4270000013
2022-11-09,1480464.8580000012
2022-11-10,1472718.9330000011
2022-11-11,1532169.9330000011
2022-11-14,1504110.3830000013
2022-11-15,1492714.163000001
2022-11-16,1514462.163000001
2022-11-17,1513312.163000001
2022-11-18,1509777.163000001
2022-11-21,1486351.163000001
2022-11-22,1489942.163000001
2022-11-23,1493848.2870000014
2022-11-24,1484020.2870000014
2022-11-25,1475792.9190000014
2022-11-28,1453405.9190000014
2022-11-29,1461019.9190000014
2022-11-30,1486492.9190000014
2022-12-01,1509685.9190000014
2022-12-02,1506069.5210000013
2022-12-05,1505029.5210000013
2022-12-06,1502131.5210000013
2022-12-07,1493803.8190000013
2022-12-08,1490183.8190000013
2022-12-09,1487622.8190000013
2022-12-12,1497636.8190000013
2022-12-13,1496195.8190000013
2022-12-14,1513718.8190000013
2022-12-15,1498642.8190000013
2022-12-16,1499754.8190000013
2022-12-19,1528006.8190000013
2022-12-20,1485260.8190000013
2022-12-21,1503438.8190000013
2022-12-22,1514429.8190000013
2022-12-23,1467211.2430000014
2022-12-26,1475617.2430000014
2022-12-27,1485905.2430000014
2022-12-28,1484819.2430000014
2022-12-29,1481396.2430000014
2022-12-30,1474927.2430000014
2023-01-03,1483573.2430000014
2023-01-04,1533618.2430000014
2023-01-05,1533002.2430000014
2023-01-06,1540676.2430000014
2023-01-09,1570846.2430000014
2023-01-10,1589498.2430000014
2023-01-11,1582554.2430000014
2023-01-12,1575894.2430000014
2023-01-13,1568674.2430000014
2023-01-16,1574917.2430000014
2023-01-17,1581753.3940000013
2023-01-18,1576287.3940000013
2023-01-19,1568635.9860000014
2023-01-20,1590015.9860000014
2023-01-30,1618910.9860000014
2023-01-31,1600471.8260000013
2023-02-01,1618344.8260000013
2023-02-02,1636262.8260000013
2023-02-03,1624952.8260000013
2023-02-06,1602716.8260000013
2023-02-07,1601405.8260000013
2023-02-08,1606082.5860000013
2023-02-09,1582384.2210000013
2023-02-10,1591930.2210000013
2023-02-13,1588557.7410000013
2023-02-14,1606960.7410000013
2023-02-15,1623014.7410000013
2023-02-16,1622428.3250000014
2023-02-17,1586516.4850000015
2023-02-20,1580563.4850000015
2023-02-21,1608966.4870000014
2023-02-22,1621474.9650000015
2023-02-23,1619777.4430000014
2023-02-24,1610982.4430000014
2023-02-27,1588286.4430000014
2023-02-28,1583577.4430000014
2023-03-01,1591853.4430000014
2023-03-02,1626436.5450000016
2023-03-03,1630540.6570000015
2023-03-06,1672619.5050000015
2023-03-07,1658914.1030000015
2023-03-08,1635296.1030000015
2023-03-09,1636448.1680000015
2023-03-10,1605202.1680000015
2023-03-13,1605293.1680000015
2023-03-14,1635807.1180000016
2023-03-15,1615777.1180000016
2023-03-16,1608871.1180000016
2023-03-17,1598055.1180000016
2023-03-20,1602204.1180000016
2023-03-21,1600770.1180000016
2023-03-22,1598311.1180000016
2023-03-23,1598171.1180000016
2023-03-24,1608670.1180000016
2023-03-27,1596492.1180000016
2023-03-28,1588012.1180000016
2023-03-29,1585228.1180000016
2023-03-30,1583992.1180000016
2023-03-31,1591063.7980000016
2023-04-03,1628035.7980000016
2023-04-04,1636781.7980000016
2023-04-06,1619799.7980000016
2023-04-07,1631666.7980000016
2023-04-10,1622380.7980000016
2023-04-11,1603939.7980000016
2023-04-12,1617491.7980000016
2023-04-13,1620161.7980000016
2023-04-14,1628725.7980000016
2023-04-17,1622305.7980000016
2023-04-18,1640163.7980000016
2023-04-19,1629815.7980000016
2023-04-20,1644657.7980000016
2023-04-21,1631380.7980000016
2023-04-24,1582716.7980000016
2023-04-25,1556223.7980000013
2023-04-26,1540779.7980000016
2023-04-27,1544090.7980000016
2023-04-28,1550898.7980000016
2023-05-04,1600273.1610000015
2023-05-05,1601287.4490000017
2023-05-08,1579631.4490000017
2023-05-09,1590162.4490000017
2023-05-10,1564672.4490000017
2023-05-11,1552599.4490000017
2023-05-12,1525085.4490000017
2023-05-15,1539106.4490000017
2023-05-16,1516272.1050000016
2023-05-17,1515276.1050000016
2023-05-18,1521285.1050000016
2023-05-19,1510740.1050000016
2023-05-22,1513028.1050000016
2023-05-23,1514500.1050000016
2023-05-24,1490536.1050000016
2023-05-25,1487298.5010000016
2023-05-26,1488213.5010000016
2023-05-29,1508751.5010000016
2023-05-30,1498981.5010000016
2023-05-31,1516887.5010000016
2023-06-01,1515709.5010000016
2023-06-02,1543008.5010000016
2023-06-05,1581966.5010000016
2023-06-06,1577233.0960000018
2023-06-07,1560956.0960000018
2023-06-08,1551292.0960000018
2023-06-09,1555037.0960000018
2023-06-12,1551866.0960000018
2023-06-13,1555213.0960000018
2023-06-14,1567195.0960000018
2023-06-15,1568951.0720000016
2023-06-16,1585827.8430000017
2023-06-19,1608603.8430000017
2023-06-20,1603496.8430000017
2023-06-21,1593429.8430000017
2023-06-26,1589028.8430000017
2023-06-27,1591887.8430000017
2023-06-28,1592055.1840000018
2023-06-29,1570081.1840000018
2023-06-30,1568609.1840000018
2023-07-03,1577378.1840000018
2023-07-04,1582281.1840000018
2023-07-05,1591837.1840000018
2023-07-06,1593572.1840000018
2023-07-07,1593840.1840000018
2023-07-10,1376881.1950000017
2023-07-11,1384045.438000002
2023-07-12,1419238.438000002
2023-07-13,1428304.745000002
2023-07-14,1438135.745000002
2023-07-17,1420548.745000002
2023-07-18,1405731.745000002
2023-07-19,1407074.745000002
2023-07-20,1403861.745000002
2023-07-21,1397093.745000002
2023-07-24,1388395.745000002
2023-07-25,1403306.745000002
2023-07-26,1421754.745000002
2023-07-27,1414872.745000002
2023-07-28,1393371.745000002
2023-07-31,1410106.745000002
2023-08-01,1436734.745000002
2023-08-02,1418246.745000002
2023-08-03,1416639.745000002
2023-08-04,1421268.745000002
2023-08-07,1413731.745000002
2023-08-08,1407747.745000002
2023-08-09,1400765.745000002
2023-08-10,1388961.745000002
2023-08-11,1391294.745000002
2023-08-14,1359647.745000002
2023-08-15,1365738.745000002
2023-08-16,1350209.745000002
2023-08-17,1333429.745000002
2023-08-18,1351627.745000002
2023-08-21,1329457.745000002
2023-08-22,1334223.745000002
2023-08-23,1354403.745000002
2023-08-24,1369509.745000002
2023-08-25,1359616.745000002
2023-08-28,1391464.745000002
2023-08-29,1319700.745000002
2023-08-30,1350341.745000002
2023-08-31,1365781.574000002
2023-09-01,1355193.7740000018
2023-09-04,1372927.7740000018
2023-09-05,1384963.7740000018
2023-09-06,1399910.374000002
2023-09-07,1390186.374000002
2023-09-08,1391577.374000002
2023-09-11,1382761.374000002
